leitura_inic_n7,leitura_final_n7,diferenca_tempo_n7
1497310182849,1497310183528,679
1497310191862,1497310192404,542
1497310200031,1497310200550,519
1497310207986,1497310208508,522
1497310216435,1497310216956,521
1497310224958,1497310225490,532
1497310237490,1497310238031,541
1497310247338,1497310247866,528
1497310256655,1497310257187,532
1497310266431,1497310266956,525
1497310275260,1497310275778,518
1497310284841,1497310285370,529
1497310297679,1497310298214,535
1497310307843,1497310308370,527
1497310320266,1497310320802,536
1497310331496,1497310332038,542
1497310344651,1497310345202,551
1497310357594,1497310358114,520
1497310374607,1497310375136,529
1497310390832,1497310391379,547
1497389591474,1497389592147,673
1497389600471,1497389601004,533
1497389616341,1497389616877,536
1497389624820,1497389625368,548
1497389635759,1497389636291,532
1497389645849,1497389646376,527
1497389654685,1497389655205,520
1497389663982,1497389664505,523
1497389677777,1497389678291,514
1497389688645,1497389689179,534
1497389699248,1497389699785,537
1497389709973,1497389710505,532
1497389720399,1497389720917,518
1497389732608,1497389733127,519
1497389745888,1497389746425,537
1497389757406,1497389757925,519
1497389768356,1497389768887,531
1497389780809,1497389781326,517
1497389796119,1497389796647,528
1497389808241,1497389808757,516
1497473051306,1497473052006,700
1497473059603,1497473060138,535
1497473070010,1497473070541,531
1497473079700,1497473080230,530
1497473089469,1497473089987,518
1497473099927,1497473100468,541
1497473110800,1497473111320,520
1497473122080,1497473122600,520
1497473133058,1497473133603,545
1497473147390,1497473147909,519
1497473160849,1497473161386,537
1497473172654,1497473173181,527
1497473184840,1497473185372,532
1497473196324,1497473196843,519
1497473208074,1497473208594,520
1497473221336,1497473221882,546
1497473233663,1497473234204,541
1497473247699,1497473248235,536
1497473261253,1497473261861,608
1497473276124,1497473276645,521
