leitura_inic_n8,leitura_final_n8,diferenca_tempo_n8
1497310403106,1497310403622,516
1497310408210,1497310408732,522
1497310416011,1497310416525,514
1497310420971,1497310421501,530
1497310425258,1497310425771,513
1497310430035,1497310430557,522
1497310434562,1497310435098,536
1497310438989,1497310439503,514
1497310443304,1497310443813,509
1497310447777,1497310448290,513
1497310452187,1497310452718,531
1497310456483,1497310456997,514
1497310460505,1497310461042,537
1497310464986,1497310465517,531
1497310469183,1497310469695,512
1497310473433,1497310473952,519
1497310478887,1497310479424,537
1497310482937,1497310483456,519
1497310487247,1497310487781,534
1497310491472,1497310492009,537
1497389814644,1497389815189,545
1497389822279,1497389822810,531
1497389828589,1497389829144,555
1497389834053,1497389834573,520
1497389839617,1497389840149,532
1497389844380,1497389844893,513
1497389850357,1497389850882,525
1497389856077,1497389856619,542
1497389861124,1497389861662,538
1497389865919,1497389866436,517
1497389871211,1497389871720,509
1497389875423,1497389875932,509
1497389880717,1497389881245,528
1497389885053,1497389885579,526
1497389889352,1497389889862,510
1497389897249,1497389897765,516
1497389901553,1497389902081,528
1497389906448,1497389906965,517
1497389911220,1497389911733,513
1497389915924,1497389916439,515
1497473282535,1497473283067,532
1497473287774,1497473288315,541
1497473292848,1497473293381,533
1497473297839,1497473298351,512
1497473303094,1497473303608,514
1497473308287,1497473308808,521
1497473315061,1497473315575,514
1497473320243,1497473320758,515
1497473326148,1497473326682,534
1497473331095,1497473331607,512
1497473337851,1497473338378,527
1497473342463,1497473342974,511
1497473347445,1497473347956,511
1497473351971,1497473352482,511
1497473356753,1497473357264,511
1497473362820,1497473363347,527
1497473367660,1497473368194,534
1497473376404,1497473376930,526
1497473381543,1497473382057,514
1497473387046,1497473387576,530
