1981702144,1961517056,-20185088
1897758720,1892827136,-4931584
1981939712,1942192128,-39747584
1945665536,1926103040,-19562496
1833123840,1824362496,-8761344
1831079936,1797128192,-33951744
1947201536,1923387392,-23814144
1699631104,1658798080,-40833024
1849614336,1804480512,-45133824
1733771264,1865146368,131375104
1862086656,1824149504,-37937152
1781014528,1733660672,-47353856
1685045248,1631043584,-54001664
1791995904,1737555968,-54439936
1767829504,1725239296,-42590208
1686917120,1824518144,137601024
1630932992,1612136448,-18796544
1700806656,1854607360,153800704
1694208000,1859207168,164999168
1650937856,1850179584,199241728
2249703424,2243256320,-6447104
2152493056,2154102784,1609728
2245398528,2242211840,-3186688
2098053120,2225668096,127614976
2228527104,2214572032,-13955072
2102472704,2086363136,-16109568
2189590528,2163286016,-26304512
2110775296,2078502912,-32272384
2079649792,2038849536,-40800256
2024636416,2113728512,89092096
2063204352,2013118464,-50085888
2000875520,2115584000,114708480
1929560064,2032287744,102727680
1983897600,2033713152,49815552
1969623040,1937039360,-32583680
1958301696,1919782912,-38518784
1851609088,1800212480,-51396608
1943343104,1868910592,-74432512
1938255872,1882955776,-55300096
1907220480,1834844160,-72376320
1648930816,1641562112,-7368704
1619173376,1603481600,-15691776
1592479744,1605824512,13344768
1533304832,1536589824,3284992
1592901632,1569402880,-23498752
1477025792,1455554560,-21471232
1593004032,1543688192,-49315840
1606332416,1543626752,-62705664
1542049792,1502572544,-39477248
1468235776,1560055808,91820032
1433894912,1400188928,-33705984
1624547328,1540993024,-83554304
1502060544,1576480768,74420224
1558179840,1526198272,-31981568
1342500864,1302441984,-40058880
1497845760,1448878080,-48967680
1535225856,1496432640,-38793216
1444425728,1368182784,-76242944
1412460544,1356292096,-56168448
1375825920,1541267456,165441536
