leitura_inic_n1,leitura_final_n1,diferenca_tempo_n1
1497308575871,1497308576544,673
1497308592848,1497308593378,530
1497308602497,1497308603032,535
1497308612343,1497308612866,523
1497308622900,1497308623427,527
1497308744091,1497308744613,522
1497308753640,1497308754167,527
1497308763478,1497308764002,524
1497308773011,1497308773534,523
1497308787114,1497308787642,528
1497308897476,1497308897998,522
1497308907289,1497308907802,513
1497308917072,1497308917608,536
1497308926752,1497308927271,519
1497308936663,1497308937176,513
1497309042661,1497309043172,511
1497309052279,1497309052801,522
1497309067424,1497309067944,520
1497309077217,1497309077739,522
1497309087143,1497309087654,511
1497388009499,1497388010291,792
1497388018129,1497388018649,520
1497388026014,1497388026542,528
1497388034098,1497388034627,529
1497388045539,1497388046084,545
1497388181642,1497388182184,542
1497388191920,1497388192453,533
1497388201843,1497388202388,545
1497388211136,1497388211652,516
1497388221525,1497388222044,519
1497388342154,1497388342669,515
1497388350807,1497388351332,525
1497388368528,1497388369040,512
1497388383986,1497388384522,536
1497388395967,1497388396485,518
1497388535956,1497388536465,509
1497388547440,1497388547972,532
1497388562708,1497388563225,517
1497388574629,1497388575137,508
1497388589424,1497388589953,529
1497471680320,1497471681000,680
1497471693252,1497471693798,546
1497471701672,1497471702213,541
1497471710750,1497471711267,517
1497471721291,1497471721832,541
1497471821063,1497471821577,514
1497471830053,1497471830577,524
1497471838301,1497471838832,531
1497471846543,1497471847056,513
1497471856851,1497471857381,530
1497471956231,1497471956744,513
1497471966340,1497471966853,513
1497471975181,1497471975695,514
1497471986815,1497471987329,514
1497471996167,1497471996678,511
1497472089578,1497472090103,525
1497472099353,1497472099865,512
1497472109822,1497472110346,524
1497472122320,1497472122853,533
1497472133862,1497472134390,528
