leitura_inic_n2,leitura_final_n2,diferenca_tempo_n2
1497308650259,1497308650792,533
1497308655843,1497308656400,557
1497308660857,1497308661376,519
1497308665164,1497308665705,541
1497308669059,1497308669576,517
1497308821073,1497308821624,551
1497308826056,1497308826569,513
1497308830877,1497308831415,538
1497308835481,1497308835995,514
1497308839280,1497308839817,537
1497308971029,1497308971543,514
1497308976408,1497308976946,538
1497308980833,1497308981356,523
1497308985959,1497308986479,520
1497308990143,1497308990657,514
1497309112823,1497309113340,517
1497309117544,1497309118059,515
1497309123586,1497309124097,511
1497309128512,1497309129049,537
1497309134094,1497309134629,535
1497388078686,1497388079205,519
1497388082745,1497388083266,521
1497388087031,1497388087572,541
1497388091510,1497388092024,514
1497388095916,1497388096437,521
1497388261297,1497388261821,524
1497388265205,1497388265744,539
1497388268837,1497388269353,516
1497388272573,1497388273096,523
1497388276035,1497388276575,540
1497388422056,1497388422572,516
1497388425948,1497388426490,542
1497388430401,1497388430918,517
1497388434311,1497388434825,514
1497388438113,1497388438654,541
1497388599863,1497388600375,512
1497388604889,1497388605429,540
1497388609478,1497388609991,513
1497388613511,1497388614049,538
1497388617761,1497388618284,523
1497471751523,1497471752054,531
1497471755135,1497471755648,513
1497471758670,1497471759186,516
1497471762076,1497471762608,532
1497471765335,1497471765854,519
1497471879489,1497471880024,535
1497471883737,1497471884264,527
1497471887756,1497471888300,544
1497471891261,1497471891796,535
1497471895169,1497471895684,515
1497472015638,1497472016156,518
1497472019818,1497472020368,550
1497472023957,1497472024487,530
1497472027985,1497472028500,515
1497472033785,1497472034304,519
1497472150750,1497472151285,535
1497472155372,1497472155906,534
1497472159948,1497472160479,531
1497472164579,1497472165127,548
1497472169710,1497472170226,516
